#{"t_start": 1722437127.1534574, "env_id": "SimpleTetris-v0"}
r,l,t
25.0,126,102.24323
60.0,161,102.765022
40.0,141,103.225954
34.0,135,103.811576
-19.0,82,104.11094
38.0,139,104.672213
2.0,103,105.013081
-4.0,97,105.378567
-3.0,98,105.803302
56.0,157,106.415318
25.0,126,106.874695
18.0,119,107.301291
18.0,119,107.715055
-24.0,77,107.980718
44.0,145,108.482673
32.0,133,108.893628
32.0,133,109.265513
27.0,128,109.644961
20.0,121,110.051675
63.0,164,110.785291
101.0,202,111.564244
25.0,126,111.920246
48.0,149,112.440157
79.0,180,112.952959
34.0,135,113.47015
58.0,159,113.952298
43.0,144,114.385608
73.0,174,114.88707
78.0,179,115.468594
17.0,118,115.843943
24.0,125,116.209552
5.0,106,116.537704
4.0,105,116.870885
2.0,103,117.17789
40.0,141,117.643639
-10.0,91,117.932575
8.0,109,118.28932
33.0,134,118.701844
37.0,138,119.099581
2.0,103,119.457756
8.0,109,119.774801
89.0,190,120.295086
70.0,171,120.824794
30.0,131,121.214525
5.0,106,121.509766
72.0,173,122.009778
32.0,133,122.395662
-4.0,97,122.683803
112.0,213,123.323049
110.0,211,124.097578
11.0,112,124.414935
91.0,192,124.982598
28.0,129,125.361646
34.0,135,125.858729
30.0,131,126.256796
39.0,140,126.700592
32.0,133,127.065402
37.0,138,127.51418
24.0,125,127.884964
29.0,130,128.267763
68.0,169,128.7603
18.0,119,129.142913
88.0,189,129.763297
75.0,176,130.320979
5.0,106,130.649415
-11.0,90,130.883531
47.0,148,131.33739
20.0,121,131.704976
55.0,156,132.173326
54.0,155,132.651232
7.0,108,133.036907
23.0,124,133.386055
55.0,156,133.855768
9.0,110,134.173563
0.0,101,134.453429
-1.0,100,134.736355
47.0,148,135.192133
57.0,158,135.698213
40.0,141,136.091539
94.0,195,136.69561
83.0,184,137.270003
-10.0,91,137.526099
44.0,145,137.997243
60.0,161,138.516269
101.0,202,139.106325
76.0,177,139.687613
6.0,107,140.010691
9.0,110,140.325722
40.0,141,140.724389
124.0,225,141.508627
33.0,134,141.939342
35.0,136,142.392074
72.0,173,142.974942
71.0,172,143.493684
109.0,210,144.174598
80.0,181,144.844628
49.0,150,145.31152
35.0,136,145.728644
82.0,183,146.280033
65.0,166,146.801857
87.0,188,147.333876
2.0,103,147.631529
8.0,109,147.961673
38.0,139,148.415053
40.0,141,148.847906
55.0,156,149.357644
38.0,139,149.787395
80.0,181,150.400592
41.0,142,150.851528
16.0,117,151.150307
61.0,162,151.670528
23.0,124,152.132786
71.0,172,152.707579
81.0,182,153.268663
39.0,140,153.72245
124.0,225,154.501926
81.0,182,155.074062
66.0,167,155.563787
53.0,154,156.021502
91.0,192,156.62172
37.0,138,157.062583
39.0,140,157.486961
96.0,197,158.15598
66.0,167,158.709339
-18.0,83,158.990389
133.0,234,159.742288
52.0,153,160.310143
30.0,131,160.778495
70.0,171,161.406648
77.0,178,162.025921
60.0,161,162.575506
69.0,170,163.196235
79.0,180,163.783503
24.0,125,164.236385
78.0,179,164.793148
-29.0,72,165.028033
6.0,107,165.511919
14.0,115,165.875894
55.0,156,166.396286
47.0,148,166.94474
32.0,133,167.379508
57.0,158,167.881266
47.0,148,168.397191
51.0,152,168.879551
78.0,179,169.468287
24.0,125,169.899019
75.0,176,170.647821
76.0,177,171.30638
61.0,162,171.851118
51.0,152,172.417503
47.0,148,172.942962
80.0,181,173.649046
19.0,120,174.01999
96.0,197,174.771411
76.0,177,175.393411
57.0,158,175.959011
84.0,185,176.540951
116.0,217,177.359359
52.0,153,177.891494
10.0,111,178.242058
68.0,169,178.8763
61.0,162,179.443259
58.0,159,179.974363
93.0,194,180.6059
80.0,181,181.293035
78.0,179,181.87586
65.0,166,182.478404
89.0,190,183.109742
42.0,143,183.676285
104.0,205,184.427552
80.0,181,185.028359
92.0,193,185.7813
116.0,217,186.596552
62.0,163,187.126996
68.0,169,187.682265
29.0,130,188.130155
88.0,189,188.796564
89.0,190,189.41703
41.0,142,189.862517
66.0,167,190.503412
67.0,168,191.085731
89.0,190,191.735356
125.0,226,192.454162
85.0,186,193.105988
127.0,228,193.888026
88.0,189,194.504683
41.0,142,194.972633
114.0,215,195.740097
69.0,170,196.255032
69.0,170,196.873398
83.0,184,197.522009
34.0,135,198.009218
90.0,191,198.655984
35.0,136,199.110738
37.0,138,199.574732
62.0,163,200.124372
28.0,129,200.610344
51.0,152,201.171892
82.0,183,201.872459
65.0,166,202.509114
32.0,133,202.928016
73.0,174,203.56033
44.0,145,204.078438
69.0,170,204.697961
37.0,138,205.196327
103.0,204,205.917128
6.0,107,206.276111
79.0,180,206.911381
38.0,139,207.351473
32.0,133,207.836137
112.0,213,208.561361
69.0,170,209.227665
52.0,153,209.802106
67.0,168,210.416063
107.0,208,211.149714
129.0,230,212.017074
62.0,163,212.567377
99.0,200,213.271282
86.0,187,213.869317
31.0,132,214.340237
38.0,139,214.773309
48.0,149,215.221185
76.0,177,215.838461
81.0,182,216.52125
84.0,185,217.291167
71.0,172,217.855316
51.0,152,218.455086
112.0,213,219.153525
111.0,212,219.906494
21.0,122,220.344724
107.0,208,221.121922
82.0,183,221.806079
63.0,164,222.347723
80.0,181,222.978488
20.0,121,223.397131
30.0,131,223.827178
53.0,154,224.297981
67.0,168,224.969253
88.0,189,225.610217
137.0,238,226.412308
95.0,196,227.076613
97.0,198,227.795154
47.0,148,228.314281
137.0,238,229.217717
36.0,137,229.684168
73.0,174,230.27797
26.0,127,230.733173
49.0,150,231.264746
46.0,147,231.763897
48.0,149,232.232585
67.0,168,232.784687
23.0,124,233.25124
41.0,142,233.739208
81.0,182,234.320484
43.0,144,234.84748
100.0,201,235.538689
30.0,131,235.989184
62.0,163,236.573052
155.0,256,237.526553
49.0,150,238.004482
129.0,230,238.840515
93.0,194,239.539972
102.0,203,240.328033
69.0,170,240.874717
100.0,201,241.632229
60.0,161,242.243152
57.0,158,242.842861
59.0,160,243.398115
116.0,217,244.129671
120.0,221,244.879369
103.0,204,245.544915
38.0,139,246.025707
87.0,188,246.7127
32.0,133,247.212857
62.0,163,247.829592
38.0,139,248.334466
99.0,200,249.048187
55.0,156,249.645561
149.0,250,250.619578
89.0,190,251.301176
83.0,184,251.904611
41.0,142,252.434407
72.0,173,253.033939
69.0,170,253.66205
132.0,233,254.440111
45.0,146,254.961726
92.0,193,255.605316
118.0,219,256.309218
24.0,125,256.687518
84.0,185,257.375142
35.0,136,257.872096
87.0,188,258.508589
6.0,107,258.86008
51.0,152,259.407735
45.0,146,259.927002
51.0,152,260.506243
60.0,161,261.02142
65.0,166,261.595682
34.0,135,262.142647
92.0,193,262.80488
102.0,203,263.474567
108.0,209,264.294211
163.0,264,265.244037
142.0,243,266.128202
143.0,244,267.048414
45.0,146,267.500633
151.0,252,268.445714
148.0,249,269.40199
38.0,139,269.878988
111.0,212,270.69429
72.0,173,271.316156
99.0,200,272.049807
94.0,195,272.754737
49.0,150,273.266115
81.0,182,273.873706
69.0,170,274.51896
95.0,196,275.236313
59.0,160,275.791218
55.0,156,276.371058
65.0,166,276.973733
125.0,226,277.855285
9.0,110,278.290997
64.0,165,278.855373
101.0,202,279.623113
21.0,122,280.043128
99.0,200,280.723383
72.0,173,281.341782
124.0,225,282.078108
97.0,198,282.75825
82.0,183,283.326419
34.0,135,283.827096
35.0,136,284.29407
53.0,154,284.824792
94.0,195,285.430844
100.0,201,286.147255
71.0,172,286.748791
89.0,190,287.429768
46.0,147,287.998413
112.0,213,288.839182
100.0,201,289.535413
