2024/08/26 03:08:55 PM > ep 7 done. total_steps=308 | reward=-64 | episode_steps=36 | hours=0.002 | epsilon=0.986
2024/08/26 03:08:56 PM > ep 8 done. total_steps=349 | reward=-59 | episode_steps=41 | hours=0.002 | epsilon=0.984
2024/08/26 03:08:57 PM > ep 9 done. total_steps=376 | reward=-73 | episode_steps=27 | hours=0.002 | epsilon=0.983
2024/08/26 03:08:57 PM > ep 10 done. total_steps=403 | reward=-73 | episode_steps=27 | hours=0.002 | epsilon=0.982
2024/08/26 03:08:58 PM > ep 11 done. total_steps=453 | reward=-50 | episode_steps=50 | hours=0.002 | epsilon=0.980
2024/08/26 03:08:59 PM > ep 12 done. total_steps=469 | reward=-84 | episode_steps=16 | hours=0.003 | epsilon=0.979
2024/08/26 03:08:59 PM > ep 13 done. total_steps=501 | reward=-68 | episode_steps=32 | hours=0.003 | epsilon=0.978
2024/08/26 03:09:00 PM > ep 14 done. total_steps=523 | reward=-78 | episode_steps=22 | hours=0.003 | epsilon=0.977
2024/08/26 03:09:00 PM > ep 15 done. total_steps=561 | reward=-62 | episode_steps=38 | hours=0.003 | epsilon=0.975
2024/08/26 03:09:02 PM > ep 16 done. total_steps=622 | reward=-39 | episode_steps=61 | hours=0.003 | epsilon=0.972
2024/08/26 03:09:03 PM > ep 17 done. total_steps=678 | reward=-44 | episode_steps=56 | hours=0.004 | epsilon=0.970
2024/08/26 03:09:04 PM > ep 18 done. total_steps=719 | reward=-59 | episode_steps=41 | hours=0.004 | epsilon=0.968
2024/08/26 03:09:04 PM > ep 19 done. total_steps=756 | reward=-63 | episode_steps=37 | hours=0.004 | epsilon=0.967
2024/08/26 03:09:05 PM > ep 20 done. total_steps=793 | reward=-63 | episode_steps=37 | hours=0.004 | epsilon=0.965
2024/08/26 03:09:06 PM > ep 21 done. total_steps=809 | reward=-84 | episode_steps=16 | hours=0.004 | epsilon=0.964
2024/08/26 03:09:07 PM > ep 22 done. total_steps=862 | reward=-47 | episode_steps=53 | hours=0.005 | epsilon=0.962
2024/08/26 03:09:08 PM > ep 23 done. total_steps=925 | reward=-37 | episode_steps=63 | hours=0.005 | epsilon=0.959
2024/08/26 03:09:09 PM > ep 24 done. total_steps=972 | reward=-53 | episode_steps=47 | hours=0.005 | epsilon=0.957
2024/08/26 03:09:09 PM > ep 25 done. total_steps=997 | reward=-75 | episode_steps=25 | hours=0.006 | epsilon=0.956
2024/08/26 03:09:10 PM > ep 26 done. total_steps=1034 | reward=-63 | episode_steps=37 | hours=0.006 | epsilon=0.955
2024/08/26 03:09:12 PM > ep 27 done. total_steps=1122 | reward=-12 | episode_steps=88 | hours=0.006 | epsilon=0.951
2024/08/26 03:12:28 PM > ep 1 done. total_steps=45 | reward=-55 | episode_steps=45 | hours=0.001 | epsilon=0.998
2024/08/26 03:12:29 PM > ep 2 done. total_steps=109 | reward=-36 | episode_steps=64 | hours=0.001 | epsilon=0.995
2024/08/26 03:12:29 PM > ep 3 done. total_steps=145 | reward=-64 | episode_steps=36 | hours=0.001 | epsilon=0.994
