2024/08/24 04:24:17 PM > ep 50 done. total_steps=3778 | reward=-11 | episode_steps=90 | hours=0.009 | epsilon=0.845
2024/08/24 04:24:18 PM > ep 51 done. total_steps=3874 | reward=-5 | episode_steps=96 | hours=0.010 | epsilon=0.842
2024/08/24 04:24:19 PM > ep 52 done. total_steps=3963 | reward=-12 | episode_steps=89 | hours=0.010 | epsilon=0.838
2024/08/24 04:24:19 PM > ep 53 done. total_steps=4039 | reward=-25 | episode_steps=76 | hours=0.010 | epsilon=0.835
2024/08/24 04:24:20 PM > ep 54 done. total_steps=4106 | reward=-34 | episode_steps=67 | hours=0.010 | epsilon=0.833
2024/08/24 04:24:21 PM > ep 55 done. total_steps=4204 | reward=-3 | episode_steps=98 | hours=0.010 | epsilon=0.829
2024/08/24 04:24:22 PM > ep 56 done. total_steps=4312 | reward=7 | episode_steps=108 | hours=0.011 | epsilon=0.825
2024/08/24 04:24:23 PM > ep 57 done. total_steps=4397 | reward=-16 | episode_steps=85 | hours=0.011 | epsilon=0.822
2024/08/24 04:24:23 PM > ep 58 done. total_steps=4492 | reward=-6 | episode_steps=95 | hours=0.011 | epsilon=0.819
2024/08/24 04:24:24 PM > ep 59 done. total_steps=4582 | reward=-11 | episode_steps=90 | hours=0.011 | epsilon=0.816
2024/08/24 04:24:25 PM > ep 60 done. total_steps=4666 | reward=-17 | episode_steps=84 | hours=0.012 | epsilon=0.813
2024/08/24 04:24:26 PM > ep 61 done. total_steps=4742 | reward=-25 | episode_steps=76 | hours=0.012 | epsilon=0.810
2024/08/24 04:24:26 PM > ep 62 done. total_steps=4820 | reward=-23 | episode_steps=78 | hours=0.012 | epsilon=0.807
2024/08/24 04:24:27 PM > ep 63 done. total_steps=4940 | reward=19 | episode_steps=120 | hours=0.012 | epsilon=0.803
2024/08/24 04:24:28 PM > ep 64 done. total_steps=5029 | reward=-12 | episode_steps=89 | hours=0.012 | epsilon=0.800
2024/08/24 04:24:29 PM > ep 65 done. total_steps=5117 | reward=-13 | episode_steps=88 | hours=0.013 | epsilon=0.797
